    40/299     1.52G   0.02568   0.01322   0.01308   0.05197         6       640    0.8002    0.7861    0.8383    0.5419   0.04299  0.008975   0.01326
    41/299     1.52G    0.0249   0.01275   0.01255    0.0502         6       640    0.7561    0.8349     0.828    0.5449   0.04182   0.00883   0.01396
    42/299     1.52G   0.02447   0.01319   0.01191   0.04957         7       640    0.7889    0.7728    0.8205    0.5389   0.04074  0.009088    0.0127
    43/299     1.52G     0.024    0.0131   0.01215   0.04926         6       640    0.8123    0.7606    0.8259    0.5374   0.04137  0.009011   0.01219
    44/299     1.52G   0.02428   0.01304   0.01189   0.04921         3       640    0.8345    0.8051     0.864    0.5748    0.0431    0.0086   0.01261
    45/299     1.52G   0.02184   0.01334   0.01121   0.04639         6       640    0.7711    0.8256    0.8463    0.5585   0.04484  0.008782   0.01465
    46/299     1.52G   0.02069    0.0126   0.01149   0.04477         6       640    0.8521    0.7721    0.8554    0.5697   0.04434  0.008402   0.01568
    47/299     1.52G   0.02283   0.01285   0.01232     0.048         7       640    0.8194    0.7903    0.8466    0.5425   0.04353   0.00883   0.01473
    48/299     1.52G   0.02384   0.01287   0.01248   0.04918        12       640    0.8286    0.8177    0.8758    0.5919   0.04467  0.008299   0.01237
    49/299     1.52G   0.02283   0.01273   0.01074   0.04629         3       640    0.8546    0.8234    0.8846    0.5974   0.04309  0.008161   0.01142
    50/299     1.52G   0.02254   0.01278   0.01035   0.04567         8       640    0.8016    0.8548    0.8661    0.5862    0.0417  0.008599   0.01243
    51/299     1.52G   0.02355    0.0124   0.01229   0.04824         5       640    0.8435    0.8083     0.861    0.5818    0.0419  0.008389   0.01121
    52/299     1.52G   0.02299   0.01293   0.01119    0.0471        11       640    0.8613    0.7846    0.8672    0.5831    0.0402  0.008544   0.01234
    53/299     1.52G   0.02312   0.01296   0.01117   0.04725         6       640    0.8508    0.8201    0.8758    0.5771   0.04151  0.008472   0.01169
    54/299     1.52G   0.02117     0.012   0.01024   0.04341         2       640    0.8736    0.8329    0.8952    0.6053   0.04068  0.008251   0.01119
